"date";"type";"type_display";"details";"amount"
04/09/2019;"COMMISSIONS";"COMMISSIONS";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";-2 631,73 €
15/12/2017;"PAIEMENTCB";"PAIEMENTCB";"Donec efficitur libero ut mauris congue at sodales urna sodales";3 887,89 €
22/10/2018;"INTERETS";"INTERETS";"Cras eget nisi id nibh placerat consectetur";3 581,85 €
22/06/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Fusce varius risus nec mattis suscipit";-161,39 €
12/06/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras pellentesque neque sed dui tincidunt ultricies";3 146,46 €
09/05/2019;"ECHEANCEPRET";"ECHEANCEPRET";"In vehicula eros in neque finibus vel cursus turpis finibus";543,20 €
23/04/2017;"CHEQUE";"CHEQUE";"Curabitur in ex ut dui tempus finibus";3 923,26 €
01/01/2017;"INTERETS";"INTERETS";"Integer ullamcorper sapien eu luctus malesuada";-4 156,58 €
08/02/2017;"COMMISSIONS";"COMMISSIONS";"Cras condimentum libero eu dolor auctor quis malesuada nisi interdum";3 912,63 €
26/06/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi tempor augue vel mi blandit molestie";-1 451,33 €
22/10/2017;"INTERETS";"INTERETS";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";-4 102,06 €
05/06/2018;"INTERETS";"INTERETS";"Morbi in libero quis risus ultricies imperdiet quis ac massa";3 818,44 €
18/09/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-3 454,10 €
27/04/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec quis dolor tempor metus suscipit volutpat";4 583,92 €
14/01/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";4 494,94 €
19/04/2018;"PAIEMENTCB";"PAIEMENTCB";"Etiam nec velit quis nulla sagittis fermentum";944,43 €
07/07/2017;"CHEQUE";"CHEQUE";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";3 152,41 €
12/10/2018;"INTERETS";"INTERETS";"Integer ut nisi ornare euismod sapien ac blandit mi";-3 101,17 €
04/12/2017;"INTERETS";"INTERETS";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";-4 039,30 €
01/12/2017;"INTERETS";"INTERETS";"Donec vel lacus nec nisl placerat suscipit";4 295,21 €
06/07/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";2 994,90 €
26/11/2017;"COMMISSIONS";"COMMISSIONS";"Donec viverra libero nec consectetur vehicula";-4 014,71 €
09/08/2017;"INTERETS";"INTERETS";"Integer ut nisi ornare euismod sapien ac blandit mi";-4 221,56 €
14/11/2018;"CHEQUE";"CHEQUE";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";-4 516,29 €
15/12/2019;"PAIEMENTCB";"PAIEMENTCB";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";-1 040,75 €
07/12/2017;"INTERETS";"INTERETS";"In vehicula eros in neque finibus vel cursus turpis finibus";-1 279,45 €
10/04/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";4 293,20 €
24/12/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi tempor augue vel mi blandit molestie";2 520,11 €
25/05/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec viverra libero nec consectetur vehicula";1 195,05 €
18/09/2019;"ECHEANCEPRET";"ECHEANCEPRET";"In vehicula eros in neque finibus vel cursus turpis finibus";-3 257,36 €
22/04/2019;"CHEQUE";"CHEQUE";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";2 304,54 €
04/01/2019;"CHEQUE";"CHEQUE";"Curabitur commodo erat id dolor molestie pharetra";-3 595,74 €
12/08/2017;"INTERETS";"INTERETS";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";-2 949,64 €
02/01/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Lorem ipsum dolor sit amet consectetur adipiscing elit";-4 549,36 €
07/12/2017;"COMMISSIONS";"COMMISSIONS";"Donec vel lacus nec nisl placerat suscipit";-3 170,49 €
09/07/2017;"COMMISSIONS";"COMMISSIONS";"Fusce varius risus nec mattis suscipit";3 777,39 €
18/10/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Curabitur in ex ut dui tempus finibus";3 577,74 €
24/05/2019;"COMMISSIONS";"COMMISSIONS";"Donec efficitur libero ut mauris congue at sodales urna sodales";1 762,06 €
16/09/2018;"PAIEMENTCB";"PAIEMENTCB";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-258,19 €
16/04/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi at est tristique tempor lectus nec pulvinar ex";-4 288,18 €
05/07/2019;"COMMISSIONS";"COMMISSIONS";"Lorem ipsum dolor sit amet consectetur adipiscing elit";4 757,27 €
24/11/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi tempor augue vel mi blandit molestie";-3 711,66 €
03/08/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Donec viverra libero nec consectetur vehicula";-71,96 €
26/04/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Lorem ipsum dolor sit amet consectetur adipiscing elit";2 017,77 €
15/05/2017;"CHEQUE";"CHEQUE";"Cras pretium erat quis vehicula iaculis";1 334,18 €
11/12/2017;"COMMISSIONS";"COMMISSIONS";"Donec nec diam viverra ultrices dui eget cursus est";2 740,42 €
28/12/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-1 402,40 €
13/06/2019;"COMMISSIONS";"COMMISSIONS";"Morbi at est tristique tempor lectus nec pulvinar ex";3 678,70 €
26/01/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";2 156,23 €
15/09/2018;"COMMISSIONS";"COMMISSIONS";"Integer ut nisi ornare euismod sapien ac blandit mi";-4 733,68 €
02/09/2019;"COMMISSIONS";"COMMISSIONS";"Integer ullamcorper sapien eu luctus malesuada";564,63 €
11/05/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-3 093,10 €
25/06/2019;"PAIEMENTCB";"PAIEMENTCB";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";-1 036,07 €
01/02/2018;"PAIEMENTCB";"PAIEMENTCB";"Etiam nec velit quis nulla sagittis fermentum";-4 531,78 €
02/05/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Lorem ipsum dolor sit amet consectetur adipiscing elit";-873,28 €
03/12/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Donec efficitur libero ut mauris congue at sodales urna sodales";-4 044,18 €
27/01/2019;"CHEQUE";"CHEQUE";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";-375,00 €
10/03/2019;"COMMISSIONS";"COMMISSIONS";"Cras pellentesque neque sed dui tincidunt ultricies";-393,58 €
16/07/2019;"COMMISSIONS";"COMMISSIONS";"Fusce vestibulum purus id congue feugiat";-57,49 €
17/09/2017;"CHEQUE";"CHEQUE";"Fusce vestibulum purus id congue feugiat";-3 250,78 €
02/09/2018;"INTERETS";"INTERETS";"Morbi nec tortor fermentum posuere mauris non aliquet neque";-4 462,71 €
04/08/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi at est tristique tempor lectus nec pulvinar ex";-2 425,51 €
23/07/2019;"COMMISSIONS";"COMMISSIONS";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";-1 160,34 €
23/03/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec vel lacus nec nisl placerat suscipit";1 689,28 €
25/08/2019;"COMMISSIONS";"COMMISSIONS";"Fusce vestibulum purus id congue feugiat";2 668,45 €
26/10/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Curabitur elementum sapien id consequat sodales";-436,41 €
03/10/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";4 665,94 €
11/03/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-391,46 €
26/12/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec nec diam viverra ultrices dui eget cursus est";4 404,42 €
23/01/2019;"INTERETS";"INTERETS";"Fusce vestibulum purus id congue feugiat";-4 014,45 €
16/08/2019;"PAIEMENTCB";"PAIEMENTCB";"Cras pellentesque neque sed dui tincidunt ultricies";-419,58 €
07/09/2018;"INTERETS";"INTERETS";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";753,27 €
13/07/2018;"INTERETS";"INTERETS";"Curabitur commodo erat id dolor molestie pharetra";-1 999,76 €
18/09/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";4 233,28 €
14/10/2019;"COMMISSIONS";"COMMISSIONS";"Curabitur commodo erat id dolor molestie pharetra";2 342,06 €
09/06/2019;"INTERETS";"INTERETS";"Cras pretium erat quis vehicula iaculis";1 552,54 €
09/07/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";-4 492,57 €
15/06/2017;"INTERETS";"INTERETS";"Morbi tempor augue vel mi blandit molestie";-2 642,99 €
24/08/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"In vehicula eros in neque finibus vel cursus turpis finibus";3 933,31 €
22/02/2018;"COMMISSIONS";"COMMISSIONS";"Lorem ipsum dolor sit amet consectetur adipiscing elit";1 297,33 €
10/04/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi nec tortor fermentum posuere mauris non aliquet neque";570,01 €
02/01/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Cras pellentesque neque sed dui tincidunt ultricies";-3 748,21 €
02/12/2019;"COMMISSIONS";"COMMISSIONS";"Fusce varius risus nec mattis suscipit";-3 381,54 €
02/03/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur in ex ut dui tempus finibus";3 220,91 €
20/06/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Fusce varius risus nec mattis suscipit";-958,36 €
16/09/2018;"INTERETS";"INTERETS";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-967,30 €
28/09/2018;"PAIEMENTCB";"PAIEMENTCB";"Donec quis dolor tempor metus suscipit volutpat";-332,66 €
07/06/2018;"COMMISSIONS";"COMMISSIONS";"Fusce varius risus nec mattis suscipit";-1 395,29 €
25/05/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer ut nisi ornare euismod sapien ac blandit mi";-160,63 €
01/01/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Curabitur elementum sapien id consequat sodales";2 259,66 €
11/06/2018;"COMMISSIONS";"COMMISSIONS";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";3 614,96 €
03/12/2019;"INTERETS";"INTERETS";"Cras condimentum libero eu dolor auctor quis malesuada nisi interdum";-3 568,96 €
12/02/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras pellentesque neque sed dui tincidunt ultricies";3 690,30 €
26/02/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";-4 672,29 €
04/08/2017;"CHEQUE";"CHEQUE";"Nam condimentum lorem non augue suscipit condimentum sodales erat tristique";-3 152,64 €
09/02/2018;"PAIEMENTCB";"PAIEMENTCB";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";2 482,38 €
24/10/2019;"COMMISSIONS";"COMMISSIONS";"Morbi at est tristique tempor lectus nec pulvinar ex";-1 992,75 €
03/12/2019;"CHEQUE";"CHEQUE";"Donec vel lacus nec nisl placerat suscipit";2 024,78 €
19/10/2017;"COMMISSIONS";"COMMISSIONS";"Donec viverra libero nec consectetur vehicula";-1 818,77 €
28/09/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";-2 226,98 €
09/10/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Cras eget nisi id nibh placerat consectetur";-3 957,49 €
16/12/2019;"COMMISSIONS";"COMMISSIONS";"Cras pellentesque neque sed dui tincidunt ultricies";1 435,32 €
02/07/2018;"INTERETS";"INTERETS";"Donec efficitur libero ut mauris congue at sodales urna sodales";-3 479,68 €
05/01/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Donec viverra libero nec consectetur vehicula";-2 066,06 €
16/02/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Fusce varius risus nec mattis suscipit";-481,69 €
06/10/2019;"PAIEMENTCB";"PAIEMENTCB";"In vehicula eros in neque finibus vel cursus turpis finibus";2 799,61 €
17/12/2017;"INTERETS";"INTERETS";"Curabitur in ex ut dui tempus finibus";1 718,30 €
08/09/2019;"INTERETS";"INTERETS";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-2 735,63 €
23/07/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";4 869,83 €
06/05/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Fusce varius risus nec mattis suscipit";2 067,02 €
14/04/2018;"INTERETS";"INTERETS";"Donec nec diam viverra ultrices dui eget cursus est";-2 058,56 €
26/09/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi at est tristique tempor lectus nec pulvinar ex";-1 947,88 €
21/12/2018;"COMMISSIONS";"COMMISSIONS";"Lorem ipsum dolor sit amet consectetur adipiscing elit";736,41 €
10/02/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Etiam nec velit quis nulla sagittis fermentum";1 830,62 €
18/05/2019;"INTERETS";"INTERETS";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";2 600,23 €
06/09/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec quis dolor tempor metus suscipit volutpat";-2 414,60 €
08/07/2017;"CHEQUE";"CHEQUE";"Donec viverra libero nec consectetur vehicula";-3 669,00 €
21/10/2019;"CHEQUE";"CHEQUE";"In vehicula eros in neque finibus vel cursus turpis finibus";2 112,13 €
18/03/2017;"INTERETS";"INTERETS";"Integer ut nisi ornare euismod sapien ac blandit mi";-4 433,30 €
21/08/2019;"COMMISSIONS";"COMMISSIONS";"Cras pellentesque neque sed dui tincidunt ultricies";-1 392,34 €
03/03/2018;"INTERETS";"INTERETS";"Cras pretium erat quis vehicula iaculis";-1 670,12 €
06/11/2017;"COMMISSIONS";"COMMISSIONS";"Cras pellentesque neque sed dui tincidunt ultricies";-777,67 €
06/04/2018;"INTERETS";"INTERETS";"Fusce vestibulum purus id congue feugiat";2 531,38 €
28/09/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi tempor augue vel mi blandit molestie";2 997,57 €
06/07/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";1 348,71 €
26/09/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Integer ut nisi ornare euismod sapien ac blandit mi";-2 080,04 €
20/02/2017;"CHEQUE";"CHEQUE";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";4 767,78 €
20/05/2017;"COMMISSIONS";"COMMISSIONS";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";-474,66 €
21/07/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Lorem ipsum dolor sit amet consectetur adipiscing elit";1 541,09 €
18/11/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Etiam nec velit quis nulla sagittis fermentum";1 351,58 €
06/09/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Donec nec diam viverra ultrices dui eget cursus est";-79,51 €
12/11/2017;"COMMISSIONS";"COMMISSIONS";"Curabitur commodo erat id dolor molestie pharetra";-2 986,70 €
01/10/2017;"INTERETS";"INTERETS";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";3 368,97 €
02/01/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";4 962,62 €
22/08/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer ut nisi ornare euismod sapien ac blandit mi";-1 759,58 €
11/11/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Cras pellentesque neque sed dui tincidunt ultricies";-23,71 €
14/02/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Curabitur elementum sapien id consequat sodales";2 326,97 €
11/02/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Curabitur in ex ut dui tempus finibus";-4 313,43 €
02/09/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";3 103,04 €
23/10/2018;"INTERETS";"INTERETS";"Curabitur elementum sapien id consequat sodales";4 355,52 €
16/09/2017;"COMMISSIONS";"COMMISSIONS";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";4 559,98 €
23/10/2017;"COMMISSIONS";"COMMISSIONS";"Morbi at est tristique tempor lectus nec pulvinar ex";2 959,28 €
13/09/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec viverra libero nec consectetur vehicula";2 990,73 €
27/03/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";1 073,12 €
21/11/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Integer ullamcorper sapien eu luctus malesuada";-556,92 €
09/01/2018;"CHEQUE";"CHEQUE";"Curabitur in ex ut dui tempus finibus";-422,26 €
10/11/2019;"INTERETS";"INTERETS";"Cras pretium erat quis vehicula iaculis";4 364,02 €
13/07/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";-786,23 €
24/08/2019;"COMMISSIONS";"COMMISSIONS";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";-949,70 €
21/12/2018;"CHEQUE";"CHEQUE";"Etiam nec velit quis nulla sagittis fermentum";2 793,88 €
07/09/2017;"INTERETS";"INTERETS";"Cras eget nisi id nibh placerat consectetur";-3 658,32 €
07/08/2018;"ECHEANCEPRET";"ECHEANCEPRET";"In vehicula eros in neque finibus vel cursus turpis finibus";-1 369,25 €
07/09/2018;"INTERETS";"INTERETS";"Curabitur in ex ut dui tempus finibus";889,42 €
22/01/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Donec quis dolor tempor metus suscipit volutpat";-2 143,50 €
09/05/2018;"CHEQUE";"CHEQUE";"Integer ut nisi ornare euismod sapien ac blandit mi";2 899,04 €
12/05/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec nec diam viverra ultrices dui eget cursus est";-1 980,55 €
